"uri1";"uri2";"sim";"score";"userid"
"http://dbpedia.org/resource/Aladdin_(1992_Disney_film)";"http://dbpedia.org/resource/2012_(film)";"LDSD";0.6852283420092109;0
"http://dbpedia.org/resource/Aladdin_(1992_Disney_film)";"http://dbpedia.org/resource/2012_(film)";"LITERAL";0.40505712105871167;0
"http://dbpedia.org/resource/Aladdin_(1992_Disney_film)";"http://dbpedia.org/resource/2012_(film)";"RESIM";0.5974018584774798;0
"http://dbpedia.org/resource/Aladdin_(1992_Disney_film)";"http://dbpedia.org/resource/300_(film)";"LDSD";0.7418355235713395;0
"http://dbpedia.org/resource/Aladdin_(1992_Disney_film)";"http://dbpedia.org/resource/300_(film)";"LITERAL";0.46798739999417904;0
"http://dbpedia.org/resource/Aladdin_(1992_Disney_film)";"http://dbpedia.org/resource/300_(film)";"RESIM";0.7393176933278816;0
"http://dbpedia.org/resource/Aladdin_(1992_Disney_film)";"http://dbpedia.org/resource/3_Idiots";"LDSD";0.5588960662043266;0
"http://dbpedia.org/resource/Aladdin_(1992_Disney_film)";"http://dbpedia.org/resource/3_Idiots";"LITERAL";0.19767042771509225;0
"http://dbpedia.org/resource/Aladdin_(1992_Disney_film)";"http://dbpedia.org/resource/3_Idiots";"RESIM";0.1882764564522188;0
"http://dbpedia.org/resource/Aladdin_(1992_Disney_film)";"http://dbpedia.org/resource/50_First_Dates";"LDSD";0.6973833710614907;0
"http://dbpedia.org/resource/Aladdin_(1992_Disney_film)";"http://dbpedia.org/resource/50_First_Dates";"LITERAL";0.4360228050220548;0
"http://dbpedia.org/resource/Aladdin_(1992_Disney_film)";"http://dbpedia.org/resource/50_First_Dates";"RESIM";0.632637550286734;0
"http://dbpedia.org/resource/Aladdin_(1992_Disney_film)";"http://dbpedia.org/resource/A_Beautiful_Mind_(film)";"LDSD";0.7440262301977576;0
"http://dbpedia.org/resource/Aladdin_(1992_Disney_film)";"http://dbpedia.org/resource/A_Beautiful_Mind_(film)";"LITERAL";0.4682707325798212;0
