userid,propertyuri,weight
1048,http://dbpedia.org/property/relatives,0.008
1048,http://dbpedia.org/property/residence,0.035
1048,http://dbpedia.org/property/rev,0.001
1048,http://dbpedia.org/property/satServ,0.008
1048,http://dbpedia.org/property/script,0.017
1048,http://dbpedia.org/property/sign,0.017
1048,http://dbpedia.org/property/sovereigntyType,0.008
1048,http://dbpedia.org/property/spouse,0.008
1048,http://dbpedia.org/property/stand,0.008
1048,http://dbpedia.org/property/studio,0.001
1048,http://dbpedia.org/property/style,0.008
1048,http://dbpedia.org/property/subdivisionType,0.008
1048,http://dbpedia.org/property/subject,0.008
1048,http://dbpedia.org/property/terrServ,0.008
1048,http://dbpedia.org/property/title,0.008
1048,http://dbpedia.org/property/upperHouse,0.008
1048,http://dbpedia.org/property/voiceType,0.008
1048,http://dbpedia.org/property/with,0.008
1048,http://dbpedia.org/property/writer,0.000
1048,http://purl.org/dc/terms/subject,0.309
1048,http://www.w3.org/2000/01/rdf-schema#seeAlso,0.017
1048,http://www.w3.org/2002/07/owl#differentFrom,0.008
1048,http://www.w3.org/2002/07/owl#sameAs,0.008
1048,http://www.w3.org/2004/02/skos/core#broader,0.061
1048,http://www.w3.org/2004/02/skos/core#related,0.008
